cenario,tamanho_label,n,algoritmo,repeticao,tempo_s,comparacoes,trocas,ordenado,status
repetido,pequena,1000,Shell Sort,3,0.001364,5457,0,1,ok
repetido,pequena,1000,Merge Sort,3,0.002397,5052,5068,1,ok
repetido,pequena,1000,Quick Sort,3,0.000311,1002,1,1,ok
repetido,pequena,1000,Radix Sort,3,0.003129,999,13000,1,ok
repetido,media,10000,Insertion Sort,1,0.002218,9999,0,1,ok
repetido,media,10000,Selection Sort,1,9.086222,49995000,0,1,ok
repetido,media,10000,Shell Sort,1,0.015510,75243,0,1,ok
repetido,media,10000,Merge Sort,1,0.034964,71712,75392,1,ok
repetido,media,10000,Quick Sort,1,0.002874,10002,1,1,ok
repetido,media,10000,Radix Sort,1,0.029620,9999,130000,1,ok
repetido,media,10000,Insertion Sort,2,0.002259,9999,0,1,ok
repetido,media,10000,Selection Sort,2,9.077943,49995000,0,1,ok
repetido,media,10000,Shell Sort,2,0.016199,75243,0,1,ok
repetido,media,10000,Merge Sort,2,0.033163,71712,75392,1,ok
repetido,media,10000,Quick Sort,2,0.002828,10002,1,1,ok
repetido,media,10000,Radix Sort,2,0.029058,9999,130000,1,ok
repetido,media,10000,Insertion Sort,3,0.002287,9999,0,1,ok
repetido,media,10000,Selection Sort,3,9.106232,49995000,0,1,ok
repetido,media,10000,Shell Sort,3,0.015620,75243,0,1,ok
repetido,media,10000,Merge Sort,3,0.034319,71712,75392,1,ok
repetido,media,10000,Quick Sort,3,0.002822,10002,1,1,ok
repetido,media,10000,Radix Sort,3,0.029334,9999,130000,1,ok
repetido,grande,50000,Insertion Sort,1,0.011215,49999,0,1,ok
repetido,grande,50000,Selection Sort,1,224.501475,1249975000,0,1,ok
repetido,grande,50000,Shell Sort,1,0.108112,455719,0,1,ok
repetido,grande,50000,Merge Sort,1,0.192252,413984,417488,1,ok
repetido,grande,50000,Quick Sort,1,0.014097,50002,1,1,ok
repetido,grande,50000,Radix Sort,1,0.159677,49999,650000,1,ok
repetido,grande,50000,Insertion Sort,2,0.011221,49999,0,1,ok
